title,company,location,category,salary_min,salary_max,contract_type,created,description,redirect_url,search_term
Data Analyst,Hays Specialist Recruitment Limited,"Bedfordshire, Eastern England",IT Jobs,40000.0,50000.0,permanent,2026-06-11T17:49:32Z,"Your new companyYou will be joining a well-established and growing organisation that places technology and data at the centre of its operational strategy. The business has a strong reputation for innovation and continuous improvement, offering a collaborative environment where systems and process optimisation are actively encouraged.Your new roleWe are currently recruiting for a Data Analyst to support the IT Manager and wider business prepare for a large data migration project and to support t…",https://www.adzuna.co.uk/jobs/land/ad/5760104616?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=A02F937861FC71569F616431F10FDB5FF1C2435E,data analyst
Data Analyst,Robert Half,"Shrewsbury, Shropshire",IT Jobs,30000.0,40000.0,permanent,2026-06-11T13:43:23Z,"Robert Half is excited to be exclusively partnering with a well-established organisation in Shrewsbury to recruit for a newly created Data and AI Analyst role. This permanent position offers a salary of up to £40,000 and hybrid working , with 2-3 days per week in the Tetbury office. This is a key role supporting the business during a pivotal stage of its digital modernisation journey . You will be responsible for enabling commercial and operational decision-making through insightful data analys…",https://www.adzuna.co.uk/jobs/land/ad/5759991021?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=8AD45962C81581C233FF2E2DA8F33BE1ED8FA2B7,data analyst
Master Data Analyst,MCS Group,"Belfast, Northern Ireland",Accounting & Finance Jobs,40000.0,40000.0,,2026-06-08T21:05:30Z,"Master Data Analyst - Belfast (Exclusive) MCS Group are delighted to be exclusively partnering with a global manufacturing organisation to recruit a Master Data Analyst to join their growing finance function in Belfast. The Company: Our client is a global, high-growth manufacturing business operating across the Americas, EMEA and APAC regions. The company is at the forefront of technological innovation and sustainability, supporting industries focused on energy efficiency and the transition to …",https://www.adzuna.co.uk/jobs/land/ad/5756534976?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=0C69925DCCF505F98D67247FE23FAE48F28BD15F,data analyst
Data Analyst,Barchester Healthcare,UK,IT Jobs,34000.0,34000.0,permanent,2026-05-20T04:50:07Z,"Learning & Development Data Analyst At Barchester Healthcare, we are committed to developing our people and creating a culture of continuous learning across our organisation. We are looking for a Learning & Development Data Analyst to join our L&D team and play a key role in ensuring the accuracy, integrity, and effectiveness of our learning data and reporting. This is an exciting opportunity for someone with strong analytical skills and a passion for data to help shape reporting processes, ide…",https://www.adzuna.co.uk/jobs/details/5734745778?utm_medium=api&utm_source=057dc159,data analyst
Data Analyst,Robert Walters,"Manchester, Greater Manchester",IT Jobs,45000.0,50000.0,permanent,2026-05-18T17:02:49Z,"Data Analyst Manchester City Centre (Hybrid) £50,000 Overview We are seeking experienced Data Analysts to join a growing, data-driven team. This role is ideal for individuals who are passionate about working hands-on with data, uncovering insights, and supporting data-led decision making. You will play a key role in interpreting and validating data, identifying trends and drivers, and communicating findings clearly to stakeholders. The successful candidate will be highly analytical, detail-orie…",https://www.adzuna.co.uk/jobs/land/ad/5733242081?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=00C772D4B8BBA44462C1F09A030648D7D66A6A3A,data analyst
Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",IT Jobs,45000.0,50000.0,permanent,2026-06-02T22:15:33Z,"DATA ANALYST LONDON/HYBRID UP TO £50,000 This is an opportunity to join a highly respected data and analytics consultancy that combines rich data assets with advanced analytics to solve complex commercial problems. You will work on varied, client-facing projects, helping organisations unlock value from their data while developing your own consulting and technical skill set. ROLES AND RESPONSIBILITIES: The Data Analyst will: Gather requirements and understanding client business challenges Conduc…",https://www.adzuna.co.uk/jobs/land/ad/5749715724?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=F401529B6E0C5B2E593E39B9A12C310D50FBAAD0,data analyst
Data Analyst,Tenth Revolution Group,"Southampton, Hampshire",IT Jobs,34000.0,40000.0,permanent,2026-05-19T14:41:56Z,"Data Analyst £40,000 We are recruiting a Data Analyst to join a fast-growing, subscription-based technology business during a critical phase of global expansion. The company has scaled rapidly and now supports over one million active customers worldwide, with further international growth planned across Europe. This role sits close to the executive team and plays a key part in driving commercial performance. The successful candidate will work within a high-impact function responsible for the maj…",https://www.adzuna.co.uk/jobs/land/ad/5734103548?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=52C042DE5990BD61C2B2B85B2F8A6FDEC2D9521A,data analyst
Data Analyst,Bennett & Game Recruitment,"Nottingham, Nottinghamshire",IT Jobs,28000.0,36000.0,permanent,2026-06-10T15:42:43Z,"Job Title: Data Analyst Location: Remote Salary: £28,000- £36,000 Data Analyst required for a Data company that build data architecture, portals, models and reporting that turn that data into decisions people make. The Successful candidate will be building views, untangling models, working out why the same issue keeps coming back, and fixing the cause rather than the symptom. Key Responsibilities Owning the client support queue - triaging, prioritising, and keeping people in the loop Diagnosing…",https://www.adzuna.co.uk/jobs/land/ad/5758568469?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=3CCFABDEDEC027490CAD90D25A3DD8BA8F66CB81,data analyst
Data Analyst,Pontoon,"Manchester, Greater Manchester",IT Jobs,104260.0,130000.0,contract,2026-06-05T23:03:30Z,"Pontoon is an employment consultancy. We put expertise, energy, and enthusiasm into improving everyone's chance of being part of the workplace. We respect and appreciate people of all ethnicities, generations, religious beliefs, sexual orientations, gender identities, and more. We do this by showcasing their talents, skills, and unique experience in an inclusive environment that helps them thrive. Job Title: Data Analyst Location: Manchester - Hybrid Contract: 12 months contract Rate: £450 - £5…",https://www.adzuna.co.uk/jobs/land/ad/5753645847?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=EBE1235D427B7EAB899CE759158A649FC13F364D,data analyst
Data Analyst Trainee,ITOL Recruit,"Cardiff County, Wales",IT Jobs,30000.0,50000.0,permanent,2026-05-28T12:03:16Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Please note this career program is designed for entry level individuals with limited or no experience, so please do not apply if you are already an experience Data Analyst as we will be looking primarily at entry level roles. Demand for Data Analysts has …",https://www.adzuna.co.uk/jobs/land/ad/5743384177?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=1760BA1C4619CE5ADE9F357D263A0860B3267514,data analyst
Data Analyst Trainee,ITOL Recruit,"Plymouth, South West England",IT Jobs,30000.0,50000.0,permanent,2026-06-01T12:05:54Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",https://www.adzuna.co.uk/jobs/land/ad/5747503474?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=464F2BD8B35FEDBDF3FFE996AB5358FFFDECFBEB,data analyst
Data Analyst Trainee,ITOL Recruit,"Romford, Essex",IT Jobs,30000.0,50000.0,permanent,2026-05-20T10:57:19Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",https://www.adzuna.co.uk/jobs/land/ad/5735047505?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=EABE686B75CB1340EE489F723E7039C5CDBC3A39,data analyst
Data Analyst Trainee,ITOL Recruit,"London, UK",IT Jobs,30000.0,50000.0,permanent,2026-05-28T15:51:17Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",https://www.adzuna.co.uk/jobs/land/ad/5743558095?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=A9493797499608115CE3E14D97A6CA8D3A9BB79F,data analyst
Data Analyst Trainee,ITOL Recruit,"Luton, Bedfordshire",IT Jobs,30000.0,50000.0,permanent,2026-05-20T10:55:18Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",https://www.adzuna.co.uk/jobs/land/ad/5735047154?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=42BC42C7EE3A22067B448F7531190A6C8C05B048,data analyst
Data Analyst Trainee,ITOL Recruit,"Wolverhampton, West Midlands",IT Jobs,30000.0,50000.0,permanent,2026-05-28T12:03:53Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",https://www.adzuna.co.uk/jobs/land/ad/5743387369?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=EEF36A23CF3397EB0ADBF1B13E025155CF3761DD,data analyst
Data Analyst Trainee,ITOL Recruit,"Bristol, South West England",IT Jobs,30000.0,50000.0,permanent,2026-06-01T12:06:17Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5747504633?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=D07AABF2F776EF811E38E8639FFDC933C5D82689,data analyst
Data Analyst Trainee,ITOL Recruit,"Hastings, East Sussex",IT Jobs,30000.0,50000.0,permanent,2026-06-03T12:20:37Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5750511770?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=F0D6FD7646B9B2600280CF9C0CEB748BA11D0C35,data analyst
Data Analyst Trainee,ITOL Recruit,"Stockport, Greater Manchester",IT Jobs,30000.0,50000.0,permanent,2026-06-03T12:16:03Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5750507981?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=63188BAB6F18134D69BE7B589C71EF5A29AFFAAD,data analyst
Data Analyst Trainee,ITOL Recruit,"Brighton, East Sussex",IT Jobs,30000.0,50000.0,permanent,2026-06-03T12:08:29Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5750489673?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=95884FD46EDEFFFDA47D275C7EF914580376E7A0,data analyst
Data Analyst Trainee,ITOL Recruit,"Warrington, Cheshire",IT Jobs,30000.0,50000.0,permanent,2026-05-20T10:53:40Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5735047008?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=816699921041EA8A905F8E92EAFB4359A227FDEA,data analyst
Data Analyst Trainee,ITOL Recruit,"Peterborough, Eastern England",IT Jobs,30000.0,50000.0,permanent,2026-05-20T10:56:33Z,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",https://www.adzuna.co.uk/jobs/land/ad/5735047368?se=HkYGKxZm8RGuw6H4-9IcyQ&utm_medium=api&utm_source=057dc159&v=30553BD854E8836981597FA31E322C0E3302628F,data analyst
