title,company,location,category,salary_min,salary_max,contract_type,description,search_term,city,salary_avg,has_salary,post_date,post_month,work_type,skills_found
Data Analyst,Hays Specialist Recruitment Limited,"Bedfordshire, Eastern England",IT Jobs,40000.0,50000.0,permanent,"Your new companyYou will be joining a well-established and growing organisation that places technology and data at the centre of its operational strategy. The business has a strong reputation for innovation and continuous improvement, offering a collaborative environment where systems and process optimisation are actively encouraged.Your new roleWe are currently recruiting for a Data Analyst to support the IT Manager and wider business prepare for a large data migration project and to support t…",data analyst,Bedfordshire,45000.0,1,2026-06-11,2026-06,On-site,
Data Analyst,Robert Half,"Shrewsbury, Shropshire",IT Jobs,30000.0,40000.0,permanent,"Robert Half is excited to be exclusively partnering with a well-established organisation in Shrewsbury to recruit for a newly created Data and AI Analyst role. This permanent position offers a salary of up to £40,000 and hybrid working , with 2-3 days per week in the Tetbury office. This is a key role supporting the business during a pivotal stage of its digital modernisation journey . You will be responsible for enabling commercial and operational decision-making through insightful data analys…",data analyst,Shrewsbury,35000.0,1,2026-06-11,2026-06,Hybrid,
Master Data Analyst,MCS Group,"Belfast, Northern Ireland",Accounting & Finance Jobs,40000.0,40000.0,Unknown,"Master Data Analyst - Belfast (Exclusive) MCS Group are delighted to be exclusively partnering with a global manufacturing organisation to recruit a Master Data Analyst to join their growing finance function in Belfast. The Company: Our client is a global, high-growth manufacturing business operating across the Americas, EMEA and APAC regions. The company is at the forefront of technological innovation and sustainability, supporting industries focused on energy efficiency and the transition to …",data analyst,Belfast,40000.0,1,2026-06-08,2026-06,On-site,
Data Analyst,Barchester Healthcare,UK,IT Jobs,34000.0,34000.0,permanent,"Learning & Development Data Analyst At Barchester Healthcare, we are committed to developing our people and creating a culture of continuous learning across our organisation. We are looking for a Learning & Development Data Analyst to join our L&D team and play a key role in ensuring the accuracy, integrity, and effectiveness of our learning data and reporting. This is an exciting opportunity for someone with strong analytical skills and a passion for data to help shape reporting processes, ide…",data analyst,UK,34000.0,1,2026-05-20,2026-05,On-site,
Data Analyst,Robert Walters,"Manchester, Greater Manchester",IT Jobs,45000.0,50000.0,permanent,"Data Analyst Manchester City Centre (Hybrid) £50,000 Overview We are seeking experienced Data Analysts to join a growing, data-driven team. This role is ideal for individuals who are passionate about working hands-on with data, uncovering insights, and supporting data-led decision making. You will play a key role in interpreting and validating data, identifying trends and drivers, and communicating findings clearly to stakeholders. The successful candidate will be highly analytical, detail-orie…",data analyst,Manchester,47500.0,1,2026-05-18,2026-05,Hybrid,
Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",IT Jobs,45000.0,50000.0,permanent,"DATA ANALYST LONDON/HYBRID UP TO £50,000 This is an opportunity to join a highly respected data and analytics consultancy that combines rich data assets with advanced analytics to solve complex commercial problems. You will work on varied, client-facing projects, helping organisations unlock value from their data while developing your own consulting and technical skill set. ROLES AND RESPONSIBILITIES: The Data Analyst will: Gather requirements and understanding client business challenges Conduc…",data analyst,London,47500.0,1,2026-06-02,2026-06,Hybrid,
Data Analyst,Tenth Revolution Group,"Southampton, Hampshire",IT Jobs,34000.0,40000.0,permanent,"Data Analyst £40,000 We are recruiting a Data Analyst to join a fast-growing, subscription-based technology business during a critical phase of global expansion. The company has scaled rapidly and now supports over one million active customers worldwide, with further international growth planned across Europe. This role sits close to the executive team and plays a key part in driving commercial performance. The successful candidate will work within a high-impact function responsible for the maj…",data analyst,Southampton,37000.0,1,2026-05-19,2026-05,On-site,
Data Analyst,Bennett & Game Recruitment,"Nottingham, Nottinghamshire",IT Jobs,28000.0,36000.0,permanent,"Job Title: Data Analyst Location: Remote Salary: £28,000- £36,000 Data Analyst required for a Data company that build data architecture, portals, models and reporting that turn that data into decisions people make. The Successful candidate will be building views, untangling models, working out why the same issue keeps coming back, and fixing the cause rather than the symptom. Key Responsibilities Owning the client support queue - triaging, prioritising, and keeping people in the loop Diagnosing…",data analyst,Nottingham,32000.0,1,2026-06-10,2026-06,Remote,
Data Analyst,Pontoon,"Manchester, Greater Manchester",IT Jobs,104260.0,130000.0,contract,"Pontoon is an employment consultancy. We put expertise, energy, and enthusiasm into improving everyone's chance of being part of the workplace. We respect and appreciate people of all ethnicities, generations, religious beliefs, sexual orientations, gender identities, and more. We do this by showcasing their talents, skills, and unique experience in an inclusive environment that helps them thrive. Job Title: Data Analyst Location: Manchester - Hybrid Contract: 12 months contract Rate: £450 - £5…",data analyst,Manchester,117130.0,1,2026-06-05,2026-06,Hybrid,
Data Analyst Trainee,ITOL Recruit,"Cardiff County, Wales",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Please note this career program is designed for entry level individuals with limited or no experience, so please do not apply if you are already an experience Data Analyst as we will be looking primarily at entry level roles. Demand for Data Analysts has …",data analyst,Cardiff County,40000.0,1,2026-05-28,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Plymouth, South West England",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",data analyst,Plymouth,40000.0,1,2026-06-01,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Romford, Essex",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",data analyst,Romford,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"London, UK",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",data analyst,London,40000.0,1,2026-05-28,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Luton, Bedfordshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",data analyst,Luton,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Wolverhampton, West Midlands",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst Demand for Data Analysts has grown 20% year on year with experienced analysts easily commanding salaries of £50k. All business decisions rely on data to ensure correct business decisions are made and therefore the role of the data analyst in the new digit…",data analyst,Wolverhampton,40000.0,1,2026-05-28,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Bristol, South West England",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Bristol,40000.0,1,2026-06-01,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Hastings, East Sussex",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Hastings,40000.0,1,2026-06-03,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Stockport, Greater Manchester",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Stockport,40000.0,1,2026-06-03,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Brighton, East Sussex",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Brighton,40000.0,1,2026-06-03,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Warrington, Cheshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Warrington,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Peterborough, Eastern England",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Peterborough,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Wigan, Greater Manchester",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Wigan,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Bournemouth, Dorset",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Bournemouth,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Doncaster, South Yorkshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Doncaster,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Grimsby, North East Lincolnshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Grimsby,40000.0,1,2026-06-03,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"York, North Yorkshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,York,40000.0,1,2026-06-03,2026-06,On-site,
Trainee Data Analyst,ITOL Recruit,"Leeds, West Yorkshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Leeds,40000.0,1,2026-05-28,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Maidstone, Kent",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Maidstone,40000.0,1,2026-05-19,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Crawley, West Sussex",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Crawley,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Rochdale, Greater Manchester",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Rochdale,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Blackburn, Lancashire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Blackburn,40000.0,1,2026-06-03,2026-06,On-site,
Data Analyst Trainee,ITOL Recruit,"Leamington Spa, Warwickshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Leamington Spa,40000.0,1,2026-05-20,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Sittingbourne, Kent",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Sittingbourne,40000.0,1,2026-05-20,2026-05,On-site,
Trainee Data Analyst,ITOL Recruit,"Reading, Berkshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Reading,40000.0,1,2026-05-19,2026-05,On-site,
Trainee Data Analyst,ITOL Recruit,"Leicester, Leicestershire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Leicester,40000.0,1,2026-05-19,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Cambridge, Cambridgeshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Cambridge,40000.0,1,2026-05-19,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Aberdeen, Aberdeenshire",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Aberdeen,40000.0,1,2026-05-19,2026-05,On-site,
Data Analyst Trainee,ITOL Recruit,"Edinburgh Technopole, Milton Bridge",IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,Edinburgh Technopole,40000.0,1,2026-05-19,2026-05,On-site,
Data Science Trainee,ITOL Recruit,UK,IT Jobs,30000.0,50000.0,permanent,"Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified candidates into a career pathway in Data Science. O…",data scientist,UK,40000.0,1,2026-06-01,2026-06,On-site,
Data Scientist,Ocho,"Belfast, Northern Ireland",IT Jobs,70000.0,70000.0,Unknown,"Data Scientist Location: Belfast (Hybrid) Eligibility: UK work authorisation required (no sponsorship available) We're working with an organisation investing heavily in data, AI, and advanced analytics, and they're looking for a Data Scientist to help turn complex datasets into meaningful, actionable insights. This is a hands on role where you'll build data pipelines, develop predictive models, and apply cutting edge AI techniques, including NLP and generative AI to solve real business problems…",data scientist,Belfast,70000.0,1,2026-05-22,2026-05,Hybrid,
Data Scientist,Harnham - Data & Analytics Recruitment,"Merseyside, North West England",IT Jobs,45000.0,50000.0,permanent,"Data Scientist £45,000-£50,000 Merseyside (Hybrid - 3x Days a Week in Office) Looking for a Data Science role where your models will actually make it into production? This is an opportunity to join a major UK retail business at a pivotal stage in its Data Science and AI transformation. With a new loyalty programme launching and significant investment into customer analytics, the business is building a scalable Data Science capability focused on real commercial impact THE COMPANY This establishe…",data scientist,Merseyside,47500.0,1,2026-05-20,2026-05,Hybrid,scala
Data Scientist,Opus Recruitment Solutions Ltd,"Swindon, Wiltshire",IT Jobs,104000.0,117000.0,contract,Data Scientist | Outside IR35 | 6 Months | £400 - £450 | Hybrid We’re recruiting for an experienced Data Scientist to join a high-impact public sector project based in Swindon. This is an exciting opportunity to work on data-driven initiatives that support critical services and decision-making. Key Responsibilities Develop and deploy machine learning and AI models to solve complex business problems Analyse large datasets to generate actionable insights Collaborate with stakeholders across techn…,data scientist,Swindon,110500.0,1,2026-06-03,2026-06,Hybrid,machine learning
Data Scientist,Digital Waffle,"Nottingham, Nottinghamshire",IT Jobs,60000.0,60000.0,permanent,"Role: Data Scientist Location: Nottingham, UK (80% Remote) Salary: £60k The Opportunity A growing, data-driven organisation is looking for a Data Scientist to help unlock the value of its data. This is a hands-on role where you'll work on a mix of analytics and machine learning projects, partnering with different teams to turn complex datasets into clear, actionable insights. You'll have the freedom to own problems end-to-end, from exploration through to deployment, while contributing to a mode…",data scientist,Nottingham,60000.0,1,2026-05-18,2026-05,Remote,machine learning
Data Scientist,Opus Recruitment Solutions Ltd,"Nottingham, Nottinghamshire",IT Jobs,104000.0,117000.0,contract,"Data Scientist | Outside IR35 | 6 Months | £400 - £450 | You’ll be joining a multidisciplinary team made up of data scientists, ML engineers, software developers, and subject-matter experts, working together to solve complex problems using advanced analytics. The focus is on applying machine learning techniques to large-scale, real-world datasets — including high-frequency vibration signals, SCADA data , and historical turbine failure records. This is a very hands-on role, centred around buildi…",data scientist,Nottingham,110500.0,1,2026-05-19,2026-05,On-site,machine learning
Data Scientist,True North Group,"Cardiff County, Wales",IT Jobs,50000.0,100000.0,permanent,"Our dedicated Data Science team is at the forefront of revolutionizing pharma intelligence and how patients gain access to life-saving therapies. Armed with cutting-edge technology and a passion for innovation, we leverage the vast landscape of data to extract actionable insights that drive informed decision making Our unique collaborative approach fosters a dynamic synergy between data science, product development, pharmaceutical industry experts, and engineering. Our deep expertise in artific…",data scientist,Cardiff County,75000.0,1,2026-06-05,2026-06,On-site,
Data Scientist,True North Group,"Newport, Wales",IT Jobs,50000.0,100000.0,permanent,"Our dedicated Data Science team is at the forefront of revolutionizing pharma intelligence and how patients gain access to life-saving therapies. Armed with cutting-edge technology and a passion for innovation, we leverage the vast landscape of data to extract actionable insights that drive informed decision making Our unique collaborative approach fosters a dynamic synergy between data science, product development, pharmaceutical industry experts, and engineering. Our deep expertise in artific…",data scientist,Newport,75000.0,1,2026-06-05,2026-06,On-site,
Lead Data Scientist,DWP Digital,"Sheffield, South Yorkshire",IT Jobs,90000.0,90000.0,permanent,"Lead Data Scientist Pay of up £92,522, plus 28.97% employer pension contributions, hybrid working, flexible hours, and great work life balance. We want to hire a new Lead Data Scientist. If you're skilled at harnessing data and applying advanced analytics to improve outcomes and excited by the prospect of using data and technology at scale in innovative ways to solve complex problems we'd love to hear from you. DWP Digital provides inspiring career opportunities for people who are passionate ab…",data scientist,Sheffield,90000.0,1,2026-06-05,2026-06,Hybrid,
